Player_id,player_name,base_price,category,set_number,accelerated_list,is_overseas,total_points_sum,total_points_mean,total_points_std,total_points_max,total_points_min,batting_points_sum,batting_points_mean,bowling_points_sum,bowling_points_mean,fielding_points_sum,fielding_points_mean,runs_sum,runs_mean,runs_max,wickets_sum,wickets_mean,wickets_max,catches_sum,catches_mean,total_matches,points_per_match
1,Josh Hazlewood,2.0,BOWL,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Varun Chakravarthy,2.0,BOWL,1,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Jasprit Bumrah,2.0,BOWL,1,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Trent Boult,2.0,BOWL,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Noor Ahmad,2.0,BOWL,1,0,False,2250.0,60.810810810810814,65.47384458182003,276.0,-24.0,-28.0,-0.7567567567567568,1743.0,47.108108108108105,90.0,2.4324324324324325,20.0,0.5405405405405406,7.0,48.0,1.2972972972972974,4.0,8.0,0.21621621621621623,34.0,66.17647058823529
6,Arshdeep Singh,2.0,BOWL,1,0,False,4491.0,54.10843373493976,57.64081634130894,255.0,-28.0,20.0,0.24096385542168675,3466.0,41.75903614457831,160.0,1.927710843373494,31.0,0.37349397590361444,10.0,106.0,1.2771084337349397,5.0,12.0,0.14457831325301204,80.0,56.1375
7,Prasidh Krishna,2.0,BOWL,1,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Marco Jansen,2.0,BOWL,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Mitchell Starc,2.0,BOWL,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Mohammed Siraj,2.0,BOWL,1,0,False,5717.0,52.93518518518518,63.66549163557157,307.0,-23.0,50.0,0.46296296296296297,3947.0,36.5462962962963,350.0,3.240740740740741,112.0,1.037037037037037,14.0,112.0,1.037037037037037,4.0,33.0,0.3055555555555556,102.0,56.049019607843135
11,Kuldeep Yadav,2.0,BOWL,1,0,False,5361.0,54.15151515151515,62.367142650395394,263.0,-41.0,70.0,0.7070707070707071,3826.0,38.64646464646464,160.0,1.6161616161616161,201.0,2.0303030303030303,35.0,106.0,1.0707070707070707,4.0,13.0,0.13131313131313133,96.0,55.84375
12,Bhuvneshwar Kumar,2.0,BOWL,1,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Harshit Rana,2.0,BOWL,1,0,False,1712.0,51.878787878787875,47.18895367016363,153.0,-21.0,40.0,1.2121212121212122,1217.0,36.878787878787875,110.0,3.3333333333333335,59.0,1.7878787878787878,34.0,42.0,1.2727272727272727,3.0,11.0,0.3333333333333333,31.0,55.225806451612904
14,Jofra Archer,2.0,BOWL,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Mohammed Shami,2.0,BOWL,1,0,False,6954.0,58.436974789915965,56.97347563878971,284.0,-24.0,70.0,0.5882352941176471,5299.0,44.529411764705884,290.0,2.436974789915966,84.0,0.7058823529411765,21.0,150.0,1.2605042016806722,4.0,19.0,0.15966386554621848,114.0,61.0
